employee_id,age,department,job_role,monthly_income,years_at_company,job_satisfaction,overtime,attrition
E0001,39,Sales,Sales Executive,6551,28,2,No,No
E0002,55,Sales,Manufacturing Director,9117,2,3,No,Yes
E0003,43,Research & Development,Manufacturing Director,7180,36,2,No,No
E0004,60,Sales,Sales Executive,5688,22,2,Yes,Yes
E0005,25,Research & Development,Research Scientist,2746,23,4,No,No
E0006,56,Research & Development,Manufacturing Director,1505,2,1,No,No
E0007,55,Research & Development,Manager,11068,8,3,Yes,No
E0008,57,Sales,Research Scientist,7179,2,2,No,No
E0009,20,Human Resources,Manufacturing Director,5215,40,4,No,No
E0010,22,Research & Development,Sales Executive,7269,31,3,No,No
E0011,40,Research & Development,Sales Executive,4415,22,4,No,No
E0012,22,Research & Development,Healthcare Representative,5771,27,1,No,No
E0013,20,Research & Development,Manufacturing Director,4430,6,1,Yes,No
E0014,52,Human Resources,Manager,3391,40,4,Yes,No
E0015,47,Research & Development,Human Resources,1869,21,2,Yes,No
E0016,54,Research & Development,Research Scientist,2985,21,4,No,No
E0017,58,Sales,Laboratory Technician,8747,39,3,Yes,No
E0018,24,Sales,Manager,4329,3,2,No,No
E0019,53,Research & Development,Sales Executive,7677,17,1,No,No
E0020,19,Research & Development,Manager,8605,3,1,No,No
E0021,33,Research & Development,Human Resources,6536,17,3,Yes,Yes
E0022,30,Human Resources,Sales Executive,5843,10,1,Yes,Yes
E0023,28,Research & Development,Sales Executive,6793,18,1,No,No
E0024,48,Sales,Healthcare Representative,5583,28,1,No,Yes
E0025,23,Research & Development,Manufacturing Director,9149,11,4,No,Yes
E0026,52,Sales,Human Resources,10628,2,3,No,No
E0027,55,Research & Development,Manufacturing Director,9690,6,3,No,Yes
E0028,46,Research & Development,Healthcare Representative,1767,29,3,Yes,No
E0029,21,Research & Development,Research Scientist,5539,23,3,No,No
E0030,43,Research & Development,Laboratory Technician,6509,40,2,Yes,No
E0031,45,Research & Development,Research Scientist,7519,36,2,No,No
E0032,34,Research & Development,Research Scientist,2700,6,3,Yes,Yes
E0033,33,Sales,Sales Executive,2664,30,4,Yes,Yes
E0034,38,Research & Development,Human Resources,9375,3,4,Yes,Yes
E0035,60,Research & Development,Sales Executive,5270,3,3,No,No
E0036,18,Sales,Manufacturing Director,3228,32,4,No,No
E0037,39,Research & Development,Manufacturing Director,4072,16,4,No,No
E0038,31,Sales,Sales Executive,7359,40,3,No,No
E0039,41,Research & Development,Manager,4690,0,4,Yes,No
E0040,18,Sales,Manufacturing Director,7032,20,1,Yes,Yes
E0041,57,Research & Development,Sales Executive,4347,12,1,No,No
E0042,37,Sales,Sales Executive,2663,40,2,Yes,No
E0043,59,Research & Development,Healthcare Representative,9634,27,1,No,Yes
E0044,24,Sales,Healthcare Representative,7376,31,2,No,No
E0045,43,Research & Development,Laboratory Technician,5766,11,1,Yes,No
E0046,47,Sales,Laboratory Technician,5353,36,4,No,No
E0047,52,Research & Development,Sales Executive,9723,34,3,No,No
E0048,18,Human Resources,Sales Executive,7801,32,1,No,No
E0049,45,Sales,Manufacturing Director,9023,19,3,No,No
E0050,24,Human Resources,Laboratory Technician,5216,37,3,Yes,No
E0051,36,Research & Development,Research Scientist,6611,27,2,Yes,No
E0052,20,Research & Development,Laboratory Technician,7385,2,4,No,No
E0053,20,Research & Development,Healthcare Representative,5290,36,4,No,No
E0054,50,Sales,Laboratory Technician,6290,0,4,No,No
E0055,48,Research & Development,Laboratory Technician,5216,27,1,No,No
E0056,56,Sales,Research Scientist,7378,10,2,No,No
E0057,48,Research & Development,Healthcare Representative,3593,36,4,Yes,No
E0058,43,Research & Development,Sales Executive,7758,29,2,No,No
E0059,23,Research & Development,Human Resources,7184,33,2,No,No
E0060,50,Sales,Manufacturing Director,6053,28,2,No,Yes
E0061,27,Human Resources,Research Scientist,7489,23,2,Yes,No
E0062,22,Sales,Manager,5697,35,3,No,No
E0063,49,Research & Development,Human Resources,5026,12,1,No,No
E0064,43,Sales,Sales Executive,7696,21,4,No,No
E0065,24,Sales,Research Scientist,7791,12,3,No,No
E0066,41,Sales,Research Scientist,5384,4,1,No,No
E0067,47,Research & Development,Sales Executive,5195,35,4,No,No
E0068,39,Sales,Manager,6097,20,3,No,No
E0069,48,Research & Development,Research Scientist,5286,2,2,No,No
E0070,39,Human Resources,Laboratory Technician,9855,33,2,No,No
E0071,33,Sales,Manager,7196,38,3,Yes,Yes
E0072,27,Sales,Healthcare Representative,6532,27,1,No,Yes
E0073,29,Sales,Healthcare Representative,4448,13,3,No,No
E0074,52,Sales,Sales Executive,8126,35,3,No,No
E0075,34,Research & Development,Human Resources,5154,30,2,No,No
E0076,48,Research & Development,Sales Executive,5064,11,2,No,Yes
E0077,33,Sales,Healthcare Representative,8200,13,3,No,No
E0078,40,Sales,Healthcare Representative,7352,40,3,No,Yes
E0079,44,Research & Development,Laboratory Technician,1500,39,2,No,No
E0080,38,Sales,Manager,6153,27,4,Yes,No
E0081,49,Research & Development,Human Resources,6776,1,4,No,No
E0082,57,Human Resources,Sales Executive,5753,9,2,No,No
E0083,55,Sales,Human Resources,6853,14,3,Yes,Yes
E0084,57,Research & Development,Research Scientist,2519,21,4,No,No
E0085,19,Research & Development,Manager,1500,35,1,No,No
E0086,50,Research & Development,Manager,4354,34,3,No,No
E0087,49,Research & Development,Manufacturing Director,7121,11,4,No,No
E0088,35,Research & Development,Human Resources,1500,4,1,No,No
E0089,31,Research & Development,Manager,4644,11,2,No,No
