years_at_company,employees,employees_left,attrition_rate_pct
0,24,1,4.17
1,22,6,27.27
2,26,5,19.23
3,19,5,26.32
4,24,6,25.0
5,25,2,8.0
6,25,3,12.0
7,12,1,8.33
8,23,2,8.7
9,26,2,7.69
10,27,7,25.93
11,25,3,12.0
12,23,2,8.7
13,22,4,18.18
14,24,7,29.17
15,15,1,6.67
16,20,1,5.0
17,20,1,5.0
18,13,1,7.69
19,17,0,0.0
20,24,3,12.5
21,25,4,16.0
22,27,10,37.04
23,25,4,16.0
24,24,2,8.33
25,21,6,28.57
26,23,2,8.7
27,30,4,13.33
28,21,2,9.52
29,20,3,15.0
30,23,5,21.74
31,19,0,0.0
32,25,4,16.0
33,18,1,5.56
34,14,0,0.0
35,21,1,4.76
36,23,3,13.04
37,18,2,11.11
38,21,3,14.29
39,20,0,0.0
40,26,6,23.08
